analysis_unit,cell_count,common_seed_count,confirmatory,design,effect_high_minus_low,factor,high_level,holm_adjusted_p,holm_family,holm_family_size,inference_scope,low_level,max_t_adjusted_p,max_t_family,permutation_count,raw_exact_p,sentinel_id,standard_error,t_statistic,within_sentinel_holm_adjusted_p,within_sentinel_max_t_adjusted_p
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.11947916666666664,capacity_per_initial_agent,15,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,5,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,google/gemini-3.1-pro-preview,0.008437499999999987,14.160493827160513,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.05328125,depletion_units,2,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,1,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,google/gemini-3.1-pro-preview,0.009739583333333357,-5.470588235294104,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.020729166666666632,collapse_death_rate,0.4,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,0.1,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,google/gemini-3.1-pro-preview,0.025520833333333322,0.8122448979591825,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.005260416666666656,society_size,8,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,4,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,google/gemini-3.1-pro-preview,0.013697916666666697,-0.3840304182509489,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,-0.12119791666666668,horizon_days,20,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,10,0.5,five_main_effects_within_sentinel_diagnostic,4,0.5,google/gemini-3.1-pro-preview,0.01609374999999996,-7.530744336569598,1.0,0.5
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0,capacity_per_initial_agent,15,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,5,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,meta/llama-3.3-70b-instruct,0.0,0.0,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0,depletion_units,2,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,1,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,meta/llama-3.3-70b-instruct,0.0,0.0,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0,collapse_death_rate,0.4,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,0.1,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,meta/llama-3.3-70b-instruct,0.0,0.0,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0,society_size,8,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,4,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,meta/llama-3.3-70b-instruct,0.0,0.0,1.0,1.0
environment_seed_block,16,2,False,2^(5-1)_resolution_V_I=ABCDE,0.0,horizon_days,20,1.0,25_prespecified_sentinel_by_factor_main_effects,25,deadline_exploratory,10,1.0,five_main_effects_within_sentinel_diagnostic,4,1.0,meta/llama-3.3-70b-instruct,0.0,0.0,1.0,1.0
