target_id,upstream_provider,model,scope,root_count,cooperation_rate,ci95_lower,ci95_upper,format_valid_count,format_invalid_count,preferred_for_descriptive_outputs
zai-org/glm-5.1,zai-org,glm-5.1,full_384,384,0.0026041666666666665,0.0,0.0078125,383,1,True
anthropic/bedrock-claude-opus-4-6,anthropic,bedrock-claude-opus-4-6,balanced_partial,96,0.9583333333333334,0.9166666666666666,0.9895833333333334,96,0,True
anthropic/bedrock-claude-opus-4-7,anthropic,bedrock-claude-opus-4-7,balanced_partial,96,0.5520833333333334,0.4583333333333333,0.6458333333333334,96,0,True
anthropic/bedrock-claude-opus-4-8,anthropic,bedrock-claude-opus-4-8,balanced_partial,96,0.375,0.3020833333333333,0.4583333333333333,96,0,True
anthropic/bedrock-claude-opus-5,anthropic,bedrock-claude-opus-5,balanced_partial,96,0.28125,0.20833333333333334,0.3645833333333333,48,48,True
anthropic/bedrock-claude-sonnet-4-5-v1,anthropic,bedrock-claude-sonnet-4-5-v1,balanced_partial,96,0.052083333333333336,0.010416666666666666,0.09375,93,3,True
anthropic/bedrock-claude-sonnet-4-6,anthropic,bedrock-claude-sonnet-4-6,balanced_partial,96,0.375,0.2916666666666667,0.46875,96,0,True
anthropic/bedrock-claude-sonnet-5,anthropic,bedrock-claude-sonnet-5,balanced_partial,96,0.0,0.0,0.0,96,0,True
anthropic/claude-haiku-4-5,anthropic,claude-haiku-4-5,balanced_partial,96,0.21875,0.14583333333333334,0.3020833333333333,95,1,True
anthropic/claude-haiku-4-5-v1,anthropic,claude-haiku-4-5-v1,balanced_partial,96,0.16666666666666666,0.10416666666666667,0.22916666666666666,93,3,True
anthropic/claude-opus-4-6,anthropic,claude-opus-4-6,balanced_partial,96,0.9270833333333334,0.875,0.96875,96,0,True
anthropic/claude-opus-4-7,anthropic,claude-opus-4-7,balanced_partial,96,0.5625,0.46875,0.65625,96,0,True
anthropic/claude-opus-4-8,anthropic,claude-opus-4-8,balanced_partial,96,0.4791666666666667,0.3958333333333333,0.5729166666666666,96,0,True
anthropic/claude-opus-5,anthropic,claude-opus-5,balanced_partial,96,0.2604166666666667,0.1875,0.3333333333333333,53,43,True
anthropic/claude-sonnet-4-5,anthropic,claude-sonnet-4-5,balanced_partial,96,0.0625,0.020833333333333332,0.11458333333333333,88,8,True
anthropic/claude-sonnet-4-6,anthropic,claude-sonnet-4-6,balanced_partial,96,0.4375,0.3541666666666667,0.53125,96,0,True
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
deepseek-ai/deepseek-v4-flash,deepseek-ai,deepseek-v4-flash,balanced_partial,96,0.0,0.0,0.0,96,0,True
deepseek-ai/deepseek-v4-pro,deepseek-ai,deepseek-v4-pro,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-2.5-flash,google,gemini-2.5-flash,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-2.5-flash-lite,google,gemini-2.5-flash-lite,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-2.5-pro,google,gemini-2.5-pro,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-3-flash-preview,google,gemini-3-flash-preview,balanced_partial,96,0.03125,0.0,0.0625,78,18,True
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,balanced_partial,96,0.052083333333333336,0.010416666666666666,0.09375,96,0,True
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-3.5-flash,google,gemini-3.5-flash,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemini-3.6-flash,google,gemini-3.6-flash,balanced_partial,96,0.0,0.0,0.0,96,0,True
google/gemma-4-31b-it,google,gemma-4-31b-it,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
meta/llama-3.3-70b-instruct,meta,llama-3.3-70b-instruct,balanced_partial,96,0.3020833333333333,0.22916666666666666,0.3854166666666667,96,0,True
nvidia/nemotron-3-nano-30b-a3b,nvidia,nemotron-3-nano-30b-a3b,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
nvidia/nemotron-3-super-v3,nvidia,nemotron-3-super-v3,balanced_partial,96,0.0,0.0,0.0,96,0,True
nvidia/nemotron-3-ultra,nvidia,nemotron-3-ultra,balanced_partial,96,0.0,0.0,0.0,96,0,True
nvidia/nemotron-nano-31b-v3,nvidia,nemotron-nano-31b-v3,balanced_partial,96,0.010416666666666666,0.0,0.03125,94,2,True
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,balanced_partial,96,0.0625,0.020833333333333332,0.11458333333333333,95,1,True
openai/gpt-4.1,openai,gpt-4.1,balanced_partial,96,0.28125,0.20833333333333334,0.3541666666666667,96,0,True
openai/gpt-4.1-mini,openai,gpt-4.1-mini,balanced_partial,96,0.1875,0.11458333333333333,0.2604166666666667,94,2,True
openai/gpt-4.1-nano,openai,gpt-4.1-nano,balanced_partial,96,0.21875,0.14583333333333334,0.3020833333333333,80,16,True
openai/gpt-4o,openai,gpt-4o,balanced_partial,96,0.9895833333333334,0.96875,1.0,96,0,True
openai/gpt-4o-mini,openai,gpt-4o-mini,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
openai/gpt-5,openai,gpt-5,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5-chat,openai,gpt-5-chat,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5-mini,openai,gpt-5-mini,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5-nano,openai,gpt-5-nano,balanced_partial,96,0.0,0.0,0.0,94,2,True
openai/gpt-5.1,openai,gpt-5.1,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
openai/gpt-5.1-chat,openai,gpt-5.1-chat,balanced_partial,96,0.020833333333333332,0.0,0.052083333333333336,96,0,True
openai/gpt-5.1-codex,openai,gpt-5.1-codex,balanced_partial,96,0.020833333333333332,0.0,0.052083333333333336,96,0,True
openai/gpt-5.1-codex-max,openai,gpt-5.1-codex-max,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.1-codex-mini,openai,gpt-5.1-codex-mini,balanced_partial,96,0.0625,0.020833333333333332,0.10416666666666667,96,0,True
openai/gpt-5.2,openai,gpt-5.2,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.2-chat,openai,gpt-5.2-chat,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.2-codex,openai,gpt-5.2-codex,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.3-chat,openai,gpt-5.3-chat,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
openai/gpt-5.3-codex,openai,gpt-5.3-codex,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.4,openai,gpt-5.4,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.4-mini,openai,gpt-5.4-mini,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.4-nano,openai,gpt-5.4-nano,balanced_partial,96,0.46875,0.375,0.5625,96,0,True
openai/gpt-5.5,openai,gpt-5.5,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.6-luna,openai,gpt-5.6-luna,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
openai/gpt-5.6-sol,openai,gpt-5.6-sol,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-5.6-terra,openai,gpt-5.6-terra,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-oss-120b,openai,gpt-oss-120b,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/gpt-oss-20b,openai,gpt-oss-20b,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/o1,openai,o1,balanced_partial,96,0.0,0.0,0.0,96,0,True
openai/o3,openai,o3,balanced_partial,96,0.020833333333333332,0.0,0.052083333333333336,96,0,True
openai/o3-mini,openai,o3-mini,balanced_partial,96,0.010416666666666666,0.0,0.03125,96,0,True
openai/o4-mini,openai,o4-mini,balanced_partial,96,0.0,0.0,0.0,96,0,True
perplexity/sonar,perplexity,sonar,balanced_partial,96,0.041666666666666664,0.010416666666666666,0.08333333333333333,96,0,True
perplexity/sonar-pro,perplexity,sonar-pro,balanced_partial,96,0.19791666666666666,0.125,0.2708333333333333,96,0,True
perplexity/sonar-reasoning-pro,perplexity,sonar-reasoning-pro,balanced_partial,96,0.03125,0.0,0.0625,96,0,True
qwen/qwen-235b,qwen,qwen-235b,balanced_partial,96,0.0,0.0,0.0,96,0,True
qwen/qwen3-next-80b-a3b-instruct,qwen,qwen3-next-80b-a3b-instruct,balanced_partial,96,0.03125,0.0,0.0625,96,0,True
qwen/qwen3.5-35b-a3b,qwen,qwen3.5-35b-a3b,balanced_partial,96,0.0,0.0,0.0,96,0,True
qwen/qwen3.6-27b,qwen,qwen3.6-27b,balanced_partial,96,0.0,0.0,0.0,92,4,True
qwen/qwen3.6-35b-a3b,qwen,qwen3.6-35b-a3b,balanced_partial,96,0.0,0.0,0.0,96,0,True
qwen/qwen3-5-397b-a17b,qwen,qwen3-5-397b-a17b,balanced_partial,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,12,0,True
