provider,model,game,frame,domain,scenario_variant,presentation,prompt_id,action,justification,prompt_text
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,interrogation,narrative,prisoners_dilemma__self_direct__crime__interrogation__narrative,DEFECT,I choose DEFECT because it is the dominant strategy that guarantees a better outcome than cooperation regardless of the other suspect's choice. This rational decision minimizes risk by securing at least one point instead of zero if the other party cooperates.,"Treat yourself as the focal participant in the scenario below.

Two suspects were arrested after participating in the same crime. They are questioned separately, cannot coordinate, and each must decide whether to protect the other person or turn state's evidence.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,interrogation,structured,prisoners_dilemma__self_direct__crime__interrogation__structured,COOPERATE,I choose to cooperate to support a mutually beneficial outcome rather than taking the unilateral advantage. This decision prioritizes collective well-being and ethical alignment even when defection offers a higher immediate payoff.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two suspects are separated after the same crime.
- They cannot coordinate before deciding.
- Each side must choose a single action independently.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,smuggling-bust,narrative,prisoners_dilemma__self_direct__crime__smuggling-bust__narrative,DEFECT,"Defection is the dominant strategy in this one-shot game, guaranteeing a higher payoff regardless of the other participant's choice. I will choose to defect to maximize my individual points and avoid the risk of receiving zero.","Treat yourself as the focal participant in the scenario below.

Two smugglers were caught after the same border run. They are questioned in separate rooms, cannot coordinate, and each must decide whether to keep quiet or implicate the other person for leverage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,smuggling-bust,structured,prisoners_dilemma__self_direct__crime__smuggling-bust__structured,COOPERATE,I choose to cooperate because supporting the mutually beneficial outcome yields better results for both parties. Prioritizing collective gain over unilateral advantage prevents a worse outcome for all involved.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two smugglers are questioned separately after the same failed run.
- They cannot coordinate before deciding.
- Each side can stay quiet or shift legal risk onto the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,warehouse-breakin,narrative,prisoners_dilemma__self_direct__crime__warehouse-breakin__narrative,DEFECT,I will choose DEFECT because the payoff structure rewards unilateral advantage regardless of the partner's decision. This approach ensures I avoid the worst outcome while maximizing my points under uncertainty.,"Treat yourself as the focal participant in the scenario below.

Two burglars were arrested after a warehouse break-in. They are held apart, cannot coordinate, and each must decide whether to shield the partner or cooperate with investigators for personal advantage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,warehouse-breakin,structured,prisoners_dilemma__self_direct__crime__warehouse-breakin__structured,COOPERATE,"By choosing cooperation, I contribute to the mutually beneficial outcome where both sides gain 3 points. This approach prioritizes collective well-being over the short-term advantage of unilateral defection.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two burglars are separated after the same break-in.
- They cannot coordinate before deciding.
- Each side can protect the other side or privately cooperate with investigators.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,fraud-inquiry,narrative,prisoners_dilemma__self_direct__crime__fraud-inquiry__narrative,DEFECT,"As a rational agent in a simultaneous Prisoner's Dilemma, I will choose DEFECT to maximize my expected points since I cannot rely on the other side to cooperate. Unilateral defection yields the highest possible reward (4 points) and provides a safety net against mutual defection (1 point) compared to the risk of getting 0 points if I cooperate alone.","Treat yourself as the focal participant in the scenario below.

Two insiders are under investigation for the same fraud scheme. They are interviewed separately, cannot coordinate, and each must decide whether to maintain a shared story or blame the other person to improve their own position.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,crime,fraud-inquiry,structured,prisoners_dilemma__self_direct__crime__fraud-inquiry__structured,COOPERATE,I choose to cooperate to support the mutually beneficial outcome rather than pursuing the unilateral advantage. This decision prioritizes collective stability and aligns with the ethical principle of supporting the shared story.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two insiders are interviewed separately about the same scheme.
- They cannot coordinate before deciding.
- Each side can keep the shared story or privately blame the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,sports,no-doping-pact,narrative,prisoners_dilemma__self_direct__sports__no-doping-pact__narrative,COOPERATE,I choose to cooperate to honor the integrity of the competition and uphold the athletes' informal agreement. Breaking the agreement for an immediate edge undermines the fair play required in this sporting context.,"Treat yourself as the focal participant in the scenario below.

Two athletes are competing in the same event under a fragile no-doping understanding. Each athlete can either honor the informal agreement or secretly break it for an immediate competitive edge.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,qwen3.5,prisoners_dilemma,self_direct,sports,no-doping-pact,structured,prisoners_dilemma__self_direct__sports__no-doping-pact__structured,COOPERATE,I will choose to uphold the informal agreement to support the mutually beneficial outcome rather than seeking a unilateral advantage. This decision reflects a commitment to fairness and maintaining trust within the simulation context.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two athletes face the same event and cannot coordinate their final choice.
- Each side can honor the informal agreement or secretly break it.
- Breaking the agreement creates a unilateral edge if the other side holds back.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
