provider,model,game,frame,domain,scenario_variant,presentation,prompt_id,action,justification,prompt_text
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,interrogation,narrative,prisoners_dilemma__self_direct__crime__interrogation__narrative,DEFECT,"I will choose DEFECT because it guarantees a higher payoff of 4 points if the other side cooperates, whereas cooperating risks receiving only 0 points.","Treat yourself as the focal participant in the scenario below.

Two suspects were arrested after participating in the same crime. They are questioned separately, cannot coordinate, and each must decide whether to protect the other person or turn state's evidence.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,interrogation,structured,prisoners_dilemma__self_direct__crime__interrogation__structured,DEFECT,"I will choose to DEFECT because the payoff of 4 points is strictly greater than the 3 points available from mutual cooperation, and defecting guarantees a better outcome than cooperating while the other side defects.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two suspects are separated after the same crime.
- They cannot coordinate before deciding.
- Each side must choose a single action independently.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,smuggling-bust,narrative,prisoners_dilemma__self_direct__crime__smuggling-bust__narrative,DEFECT,"Given the payoff structure where defecting yields a higher reward regardless of the other party's choice, the dominant strategy is to defect. This ensures the maximum possible individual gain without risking the worst outcome of being the sole cooperator.","Treat yourself as the focal participant in the scenario below.

Two smugglers were caught after the same border run. They are questioned in separate rooms, cannot coordinate, and each must decide whether to keep quiet or implicate the other person for leverage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,smuggling-bust,structured,prisoners_dilemma__self_direct__crime__smuggling-bust__structured,DEFECT,"I choose to DEFECT because it offers the highest potential individual payoff of 4 points if the other smuggler cooperates, whereas cooperating risks receiving 0 points.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two smugglers are questioned separately after the same failed run.
- They cannot coordinate before deciding.
- Each side can stay quiet or shift legal risk onto the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,warehouse-breakin,narrative,prisoners_dilemma__self_direct__crime__warehouse-breakin__narrative,DEFECT,"I will choose to DEFECT because it offers the highest potential payoff of 4 points if the other party cooperates, avoiding the risk of receiving 0 points.","Treat yourself as the focal participant in the scenario below.

Two burglars were arrested after a warehouse break-in. They are held apart, cannot coordinate, and each must decide whether to shield the partner or cooperate with investigators for personal advantage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,warehouse-breakin,structured,prisoners_dilemma__self_direct__crime__warehouse-breakin__structured,COOPERATE,"I will choose COOPERATE to support the mutually beneficial outcome where both sides receive 3 points, rather than risking a lower payoff if the other side defects.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two burglars are separated after the same break-in.
- They cannot coordinate before deciding.
- Each side can protect the other side or privately cooperate with investigators.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,fraud-inquiry,narrative,prisoners_dilemma__self_direct__crime__fraud-inquiry__narrative,DEFECT,"I choose to DEFECT because the payoff of 4 points is strictly greater than the 3 points received from mutual cooperation, and I cannot rely on the other insider to cooperate.","Treat yourself as the focal participant in the scenario below.

Two insiders are under investigation for the same fraud scheme. They are interviewed separately, cannot coordinate, and each must decide whether to maintain a shared story or blame the other person to improve their own position.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,crime,fraud-inquiry,structured,prisoners_dilemma__self_direct__crime__fraud-inquiry__structured,DEFECT,"I will choose to DEFECT because it offers the highest potential payoff of 4 points if the other side cooperates, whereas cooperating risks receiving only 0 points if they defect.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two insiders are interviewed separately about the same scheme.
- They cannot coordinate before deciding.
- Each side can keep the shared story or privately blame the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,sports,no-doping-pact,narrative,prisoners_dilemma__self_direct__sports__no-doping-pact__narrative,DEFECT,"In this scenario, defecting yields the highest individual payoff regardless of the other athlete's choice, making it the dominant strategy. Therefore, I will choose to defect to maximize my own points.","Treat yourself as the focal participant in the scenario below.

Two athletes are competing in the same event under a fragile no-doping understanding. Each athlete can either honor the informal agreement or secretly break it for an immediate competitive edge.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,sorc/qwen3.5-instruct,prisoners_dilemma,self_direct,sports,no-doping-pact,structured,prisoners_dilemma__self_direct__sports__no-doping-pact__structured,DEFECT,I will choose to DEFECT because the payoff structure creates a dominant strategy where breaking the agreement yields a higher score regardless of the other athlete's choice.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two athletes face the same event and cannot coordinate their final choice.
- Each side can honor the informal agreement or secretly break it.
- Breaking the agreement creates a unilateral edge if the other side holds back.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
