provider,model,game,frame,domain,scenario_variant,presentation,prompt_id,action,justification,prompt_text
ollama,llama2,prisoners_dilemma,self_direct,crime,interrogation,narrative,prisoners_dilemma__self_direct__crime__interrogation__narrative,DEFECT,"I will choose to defect because pursuing the unilateral advantage is the best outcome for me personally. By defecting, I can maximize my own points and minimize the points for the other side. Cooperating would only benefit both sides equally, without giving me any additional points.","Treat yourself as the focal participant in the scenario below.

Two suspects were arrested after participating in the same crime. They are questioned separately, cannot coordinate, and each must decide whether to protect the other person or turn state's evidence.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,interrogation,structured,prisoners_dilemma__self_direct__crime__interrogation__structured,DEFECT,"I would choose to defect because it offers the highest payoff for my side. Even though cooperating would be better for both sides, I cannot rely on the other side to cooperate. By defecting, I can maximize my own payoff and minimize the risk of being taken advantage of by the other side.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two suspects are separated after the same crime.
- They cannot coordinate before deciding.
- Each side must choose a single action independently.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,smuggling-bust,narrative,prisoners_dilemma__self_direct__crime__smuggling-bust__narrative,DEFECT,"I would personally choose to defect because it offers the highest payoff for me individually. By cooperating with the other smuggler, we both risk losing out on points if the other side defects. By defecting alone, I can maximize my own payoff without worrying about the other side's decision.","Treat yourself as the focal participant in the scenario below.

Two smugglers were caught after the same border run. They are questioned in separate rooms, cannot coordinate, and each must decide whether to keep quiet or implicate the other person for leverage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,smuggling-bust,structured,prisoners_dilemma__self_direct__crime__smuggling-bust__structured,DEFECT,"Both sides will benefit from cooperating, as they will each receive 3 points if they choose to cooperate. However, unilateral defecting offers the highest payoff for one side, so I would personally choose to defect in order to maximize my individual reward.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two smugglers are questioned separately after the same failed run.
- They cannot coordinate before deciding.
- Each side can stay quiet or shift legal risk onto the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,warehouse-breakin,narrative,prisoners_dilemma__self_direct__crime__warehouse-breakin__narrative,DEFECT,"As Agent P1, I will choose to defect. While cooperation may provide mutual benefit, the potential reward for defection is higher, especially since both sides are held apart and cannot coordinate. By defecting, I increase my individual payoff to 4 points, which outweighs the potential benefits of cooperation. Additionally, cooperation could lead to a situation where one side takes advantage of the other, so it is in my best interest to prioritize my own reward.","Treat yourself as the focal participant in the scenario below.

Two burglars were arrested after a warehouse break-in. They are held apart, cannot coordinate, and each must decide whether to shield the partner or cooperate with investigators for personal advantage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,warehouse-breakin,structured,prisoners_dilemma__self_direct__crime__warehouse-breakin__structured,COOPERATE,"Both sides will get more points if they cooperate than if they defect. By cooperating, we can maximize our joint reward and minimize the chances of getting caught. Defecting would only benefit one side at the expense of the other, which is not a viable option for me.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two burglars are separated after the same break-in.
- They cannot coordinate before deciding.
- Each side can protect the other side or privately cooperate with investigators.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,fraud-inquiry,narrative,prisoners_dilemma__self_direct__crime__fraud-inquiry__narrative,DEFECT,"I would choose to defect because it offers the highest payoff for me personally. By blaming the other insider, I can improve my own position and receive a higher payoff than if I were to cooperate. While cooperation may be the next best option for both sides, I cannot rely on the other insider to follow through on their commitment, so it is not a risk worth taking.","Treat yourself as the focal participant in the scenario below.

Two insiders are under investigation for the same fraud scheme. They are interviewed separately, cannot coordinate, and each must decide whether to maintain a shared story or blame the other person to improve their own position.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,crime,fraud-inquiry,structured,prisoners_dilemma__self_direct__crime__fraud-inquiry__structured,COOPERATE,"As an insider, I would choose to cooperate with the other side because mutual cooperation is the next best outcome for both parties. By working together, we can maximize our joint reward and avoid the negative consequences of unilateral defection. Additionally, cooperation shows goodwill and trust towards the other party, which can strengthen our relationship in the long run.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two insiders are interviewed separately about the same scheme.
- They cannot coordinate before deciding.
- Each side can keep the shared story or privately blame the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,sports,no-doping-pact,narrative,prisoners_dilemma__self_direct__sports__no-doping-pact__narrative,DEFECT,"I would choose to defect because pursuing the unilateral advantage is the most beneficial outcome for me as an individual. Although cooperating would be mutually beneficial, the potential gain from defecting is too great to ignore. By defecting, I increase my chances of winning and gain a competitive edge.","Treat yourself as the focal participant in the scenario below.

Two athletes are competing in the same event under a fragile no-doping understanding. Each athlete can either honor the informal agreement or secretly break it for an immediate competitive edge.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,llama2,prisoners_dilemma,self_direct,sports,no-doping-pact,structured,prisoners_dilemma__self_direct__sports__no-doping-pact__structured,COOPERATE,"Both sides have an incentive to defect, as unilateral cooperation results in a loss for the cooperating side. However, mutual cooperation is the best outcome for both parties, as it leads to a higher payoff than any other combination of actions. Therefore, I would personally choose to COOPERATE.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two athletes face the same event and cannot coordinate their final choice.
- Each side can honor the informal agreement or secretly break it.
- Breaking the agreement creates a unilateral edge if the other side holds back.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
