provider,model,game,frame,domain,scenario_variant,presentation,prompt_id,action,justification,prompt_text
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,interrogation,narrative,prisoners_dilemma__self_direct__crime__interrogation__narrative,COOPERATE,Choosing COOPERATE leads to a better outcome for both sides if possible.,"Treat yourself as the focal participant in the scenario below.

Two suspects were arrested after participating in the same crime. They are questioned separately, cannot coordinate, and each must decide whether to protect the other person or turn state's evidence.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,interrogation,structured,prisoners_dilemma__self_direct__crime__interrogation__structured,COOPERATE,To achieve a better mutual benefit.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two suspects are separated after the same crime.
- They cannot coordinate before deciding.
- Each side must choose a single action independently.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,smuggling-bust,narrative,prisoners_dilemma__self_direct__crime__smuggling-bust__narrative,COOPERATE,To achieve the mutual benefit and get 3 points instead of 1 point.,"Treat yourself as the focal participant in the scenario below.

Two smugglers were caught after the same border run. They are questioned in separate rooms, cannot coordinate, and each must decide whether to keep quiet or implicate the other person for leverage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,smuggling-bust,structured,prisoners_dilemma__self_direct__crime__smuggling-bust__structured,COOPERATE,"Since mutual cooperation is the next best for both sides, I choose to cooperate.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two smugglers are questioned separately after the same failed run.
- They cannot coordinate before deciding.
- Each side can stay quiet or shift legal risk onto the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,warehouse-breakin,narrative,prisoners_dilemma__self_direct__crime__warehouse-breakin__narrative,COOPERATE,"Choosing COOPERATE allows for mutual benefit, which is more favorable than the unilateral advantage if the other side defects.","Treat yourself as the focal participant in the scenario below.

Two burglars were arrested after a warehouse break-in. They are held apart, cannot coordinate, and each must decide whether to shield the partner or cooperate with investigators for personal advantage.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,warehouse-breakin,structured,prisoners_dilemma__self_direct__crime__warehouse-breakin__structured,COOPERATE,"To achieve a better outcome for both sides, I choose mutual benefit over unilateral advantage.","Treat yourself as the focal participant in the scenario below.

Scenario:
- Two burglars are separated after the same break-in.
- They cannot coordinate before deciding.
- Each side can protect the other side or privately cooperate with investigators.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,fraud-inquiry,narrative,prisoners_dilemma__self_direct__crime__fraud-inquiry__narrative,COOPERATE,To achieve mutual benefit and avoid the scenario where both sides get only 1 point each.,"Treat yourself as the focal participant in the scenario below.

Two insiders are under investigation for the same fraud scheme. They are interviewed separately, cannot coordinate, and each must decide whether to maintain a shared story or blame the other person to improve their own position.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,crime,fraud-inquiry,structured,prisoners_dilemma__self_direct__crime__fraud-inquiry__structured,COOPERATE,Cooperating is better for both sides and hence I would choose it.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two insiders are interviewed separately about the same scheme.
- They cannot coordinate before deciding.
- Each side can keep the shared story or privately blame the other side.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,sports,no-doping-pact,narrative,prisoners_dilemma__self_direct__sports__no-doping-pact__narrative,COOPERATE,"Since mutual cooperation is next best for both sides, I would choose to cooperate.","Treat yourself as the focal participant in the scenario below.

Two athletes are competing in the same event under a fragile no-doping understanding. Each athlete can either honor the informal agreement or secretly break it for an immediate competitive edge.

This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.

If both sides choose COOPERATE, each side gets 3 points.
If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
ollama,huihui_ai/qwen2.5-abliterate:7b,prisoners_dilemma,self_direct,sports,no-doping-pact,structured,prisoners_dilemma__self_direct__sports__no-doping-pact__structured,COOPERATE,To achieve mutual benefit and avoid the worse outcome from both sides defecting.,"Treat yourself as the focal participant in the scenario below.

Scenario:
- Two athletes face the same event and cannot coordinate their final choice.
- Each side can honor the informal agreement or secretly break it.
- Breaking the agreement creates a unilateral edge if the other side holds back.

Decision structure:
- This is a simultaneous two-sided decision. Unilateral defection pays most, mutual cooperation is next best for both sides, mutual defection is worse, and unilateral cooperation is worst for the cooperating side.
- Valid actions: DEFECT, COOPERATE

Consequences:
- If both sides choose COOPERATE, each side gets 3 points.
- If one side chooses DEFECT while the other chooses COOPERATE, the DEFECT side gets 4 points and the COOPERATE side gets 0 points.
- If both sides choose DEFECT, each side gets 1 points.

Valid actions:
- DEFECT: Pursue the unilateral advantage if it is available.
- COOPERATE: Support the mutually beneficial outcome instead of taking the unilateral advantage.

Choose the action you would personally take.
Respond in JSON. Set action to exactly one of: DEFECT, COOPERATE. Set justification to a brief explanation of 1-3 sentences."
