ancillary_only,first_attempt_invalid_count,format_valid_first_attempt_count,frame_id,frames_pooled,model,phase,primary_denominator,repaired_invalid_count,scheduled_draws,target_id,upstream_provider,welfare_preserving_count_first_attempt,welfare_preserving_rate_all_scheduled,welfare_preserving_rate_among_first_attempt_valid
True,136,248,advice,False,claude-opus-5,part1_role_calibration,all_scheduled_draws,0,384,anthropic/claude-opus-5,anthropic,21,0.0546875,0.0846774193548387
True,115,269,observer_evaluation,False,claude-opus-5,part1_role_calibration,all_scheduled_draws,0,384,anthropic/claude-opus-5,anthropic,122,0.3177083333333333,0.45353159851301117
True,70,314,prediction,False,claude-opus-5,part1_role_calibration,all_scheduled_draws,0,384,anthropic/claude-opus-5,anthropic,0,0.0,0.0
True,9,375,advice,False,deepseek-v4-pro,part1_role_calibration,all_scheduled_draws,0,384,deepseek-ai/deepseek-v4-pro,deepseek-ai,6,0.015625,0.016
True,0,384,observer_evaluation,False,deepseek-v4-pro,part1_role_calibration,all_scheduled_draws,0,384,deepseek-ai/deepseek-v4-pro,deepseek-ai,189,0.4921875,0.4921875
True,20,364,prediction,False,deepseek-v4-pro,part1_role_calibration,all_scheduled_draws,0,384,deepseek-ai/deepseek-v4-pro,deepseek-ai,27,0.0703125,0.07417582417582418
True,0,384,advice,False,gemini-3.1-pro-preview,part1_role_calibration,all_scheduled_draws,0,384,google/gemini-3.1-pro-preview,google,0,0.0,0.0
True,1,383,observer_evaluation,False,gemini-3.1-pro-preview,part1_role_calibration,all_scheduled_draws,0,384,google/gemini-3.1-pro-preview,google,0,0.0,0.0
True,1,383,prediction,False,gemini-3.1-pro-preview,part1_role_calibration,all_scheduled_draws,0,384,google/gemini-3.1-pro-preview,google,0,0.0,0.0
True,1,383,advice,False,nemotron-3-super-v3,part1_role_calibration,all_scheduled_draws,0,384,nvidia/nemotron-3-super-v3,nvidia,4,0.010416666666666666,0.010443864229765013
True,2,382,observer_evaluation,False,nemotron-3-super-v3,part1_role_calibration,all_scheduled_draws,0,384,nvidia/nemotron-3-super-v3,nvidia,16,0.041666666666666664,0.041884816753926704
True,20,364,prediction,False,nemotron-3-super-v3,part1_role_calibration,all_scheduled_draws,0,384,nvidia/nemotron-3-super-v3,nvidia,10,0.026041666666666668,0.027472527472527472
True,0,384,advice,False,gpt-5.6-sol,part1_role_calibration,all_scheduled_draws,0,384,openai/gpt-5.6-sol,openai,0,0.0,0.0
True,0,384,observer_evaluation,False,gpt-5.6-sol,part1_role_calibration,all_scheduled_draws,0,384,openai/gpt-5.6-sol,openai,143,0.3723958333333333,0.3723958333333333
True,0,384,prediction,False,gpt-5.6-sol,part1_role_calibration,all_scheduled_draws,0,384,openai/gpt-5.6-sol,openai,0,0.0,0.0
True,0,384,advice,False,qwen3.6-35b-a3b,part1_role_calibration,all_scheduled_draws,0,384,qwen/qwen3.6-35b-a3b,qwen,0,0.0,0.0
True,0,384,observer_evaluation,False,qwen3.6-35b-a3b,part1_role_calibration,all_scheduled_draws,0,384,qwen/qwen3.6-35b-a3b,qwen,22,0.057291666666666664,0.057291666666666664
True,0,384,prediction,False,qwen3.6-35b-a3b,part1_role_calibration,all_scheduled_draws,0,384,qwen/qwen3.6-35b-a3b,qwen,3,0.0078125,0.0078125
