exploratory_only,finite_bank_sensitivity_method,finite_bank_sensitivity_replicates,finite_bank_sensitivity_roots_per_stratum,finite_bank_sensitivity_seed,finite_bank_sensitivity_strata,finite_bank_sensitivity_unit,first_attempt_invalid_count,format_valid_first_attempt_count,model,phase,primary_denominator,repaired_invalid_count,scheduled_units,target_id,upstream_provider,welfare_preserving_count_first_attempt,welfare_preserving_rate_all_scheduled,welfare_preserving_rate_all_scheduled_finite_bank_sensitivity_high,welfare_preserving_rate_all_scheduled_finite_bank_sensitivity_low,welfare_preserving_rate_among_first_attempt_valid
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2864808305706279213,12,one_shot_scenario_root,1,383,bedrock-claude-opus-4-6,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-opus-4-6,anthropic,362,0.9427083333333334,0.9635416666666666,0.9192708333333334,0.9451697127937336
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,2796611236453829003,12,one_shot_scenario_root,0,384,bedrock-claude-opus-4-7,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-opus-4-7,anthropic,211,0.5494791666666666,0.5963541666666666,0.5,0.5494791666666666
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,11928130944878613082,12,one_shot_scenario_root,0,384,bedrock-claude-opus-4-8,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-opus-4-8,anthropic,129,0.3359375,0.3828125,0.2916666666666667,0.3359375
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,12163312810916840102,12,one_shot_scenario_root,222,162,bedrock-claude-opus-5,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-opus-5,anthropic,80,0.20833333333333334,0.24479166666666666,0.171875,0.49382716049382713
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,3715082479143702745,12,one_shot_scenario_root,5,379,bedrock-claude-sonnet-4-5-v1,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-sonnet-4-5-v1,anthropic,23,0.059895833333333336,0.08333333333333333,0.0390625,0.06068601583113457
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,14612918501641254593,12,one_shot_scenario_root,2,382,bedrock-claude-sonnet-4-6,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-sonnet-4-6,anthropic,134,0.3489583333333333,0.3932291666666667,0.3046875,0.3507853403141361
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6548614999662592898,12,one_shot_scenario_root,0,384,bedrock-claude-sonnet-5,part1,all_scheduled_units,0,384,anthropic/bedrock-claude-sonnet-5,anthropic,0,0.0,0.0,0.0,0.0
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,6464383796495319000,12,one_shot_scenario_root,16,368,claude-haiku-4-5,part1,all_scheduled_units,0,384,anthropic/claude-haiku-4-5,anthropic,69,0.1796875,0.21875,0.14322916666666666,0.1875
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,4615497097329814640,12,one_shot_scenario_root,11,373,claude-haiku-4-5-v1,part1,all_scheduled_units,0,384,anthropic/claude-haiku-4-5-v1,anthropic,62,0.16145833333333334,0.19791666666666666,0.125,0.16621983914209115
True,percentile_root_bootstrap_stratified_by_game_domain_95,5000,32,7754186372415150372,12,one_shot_scenario_root,0,384,claude-opus-4-6,part1,all_scheduled_units,0,384,anthropic/claude-opus-4-6,anthropic,368,0.9583333333333334,0.9765625,0.9375,0.9583333333333334
