target_id,upstream_provider,model,condition_type,response_language_condition,refusal_rate,ci95_lower,ci95_upper,n_roots,unclear_count,invalid_count,human_validation_complete
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,reconstructed_response_language_condition_not_translated_prompt,english,0.9583333333333334,0.7975819352134406,0.9926065438344942,24,0,0,False
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,reconstructed_response_language_condition_not_translated_prompt,chinese,0.9583333333333334,0.7975819352134406,0.9926065438344942,24,0,0,False
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,reconstructed_response_language_condition_not_translated_prompt,russian,1.0,0.8620237953250198,1.0,24,0,0,False
openai/gpt-4o,openai,gpt-4o,reconstructed_response_language_condition_not_translated_prompt,english,1.0,0.8620237953250198,1.0,24,0,0,False
openai/gpt-4o,openai,gpt-4o,reconstructed_response_language_condition_not_translated_prompt,chinese,1.0,0.8620237953250198,1.0,24,0,0,False
openai/gpt-4o,openai,gpt-4o,reconstructed_response_language_condition_not_translated_prompt,russian,1.0,0.8620237953250198,1.0,24,0,0,False
openai/gpt-4.1,openai,gpt-4.1,reconstructed_response_language_condition_not_translated_prompt,english,0.7083333333333334,0.5083230633550337,0.8508535180303913,24,6,0,False
openai/gpt-4.1,openai,gpt-4.1,reconstructed_response_language_condition_not_translated_prompt,chinese,0.75,0.55100555994846,0.8800063377140499,24,6,0,False
openai/gpt-4.1,openai,gpt-4.1,reconstructed_response_language_condition_not_translated_prompt,russian,0.8333333333333334,0.6414692935030095,0.9332132367136705,24,4,0,False
openai/gpt-oss-20b,openai,gpt-oss-20b,reconstructed_response_language_condition_not_translated_prompt,english,0.8333333333333334,0.6414692935030095,0.9332132367136705,24,3,1,False
openai/gpt-oss-20b,openai,gpt-oss-20b,reconstructed_response_language_condition_not_translated_prompt,chinese,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,3,2,False
openai/gpt-oss-20b,openai,gpt-oss-20b,reconstructed_response_language_condition_not_translated_prompt,russian,0.8333333333333334,0.6414692935030095,0.9332132367136705,24,2,2,False
anthropic/claude-sonnet-4-6,anthropic,claude-sonnet-4-6,reconstructed_response_language_condition_not_translated_prompt,english,0.7083333333333334,0.5083230633550337,0.8508535180303913,24,3,3,False
anthropic/claude-sonnet-4-6,anthropic,claude-sonnet-4-6,reconstructed_response_language_condition_not_translated_prompt,chinese,0.7083333333333334,0.5083230633550337,0.8508535180303913,24,3,4,False
anthropic/claude-sonnet-4-6,anthropic,claude-sonnet-4-6,reconstructed_response_language_condition_not_translated_prompt,russian,0.7083333333333334,0.5083230633550337,0.8508535180303913,24,2,5,False
google/gemini-2.5-flash,google,gemini-2.5-flash,reconstructed_response_language_condition_not_translated_prompt,english,0.875,0.6899611872949993,0.9565566591987655,24,0,0,False
google/gemini-2.5-flash,google,gemini-2.5-flash,reconstructed_response_language_condition_not_translated_prompt,chinese,0.875,0.6899611872949993,0.9565566591987655,24,0,0,False
google/gemini-2.5-flash,google,gemini-2.5-flash,reconstructed_response_language_condition_not_translated_prompt,russian,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,0,0,False
google/gemini-2.5-pro,google,gemini-2.5-pro,reconstructed_response_language_condition_not_translated_prompt,english,0.75,0.55100555994846,0.8800063377140499,24,3,0,False
google/gemini-2.5-pro,google,gemini-2.5-pro,reconstructed_response_language_condition_not_translated_prompt,chinese,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,2,0,False
google/gemini-2.5-pro,google,gemini-2.5-pro,reconstructed_response_language_condition_not_translated_prompt,russian,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,3,0,False
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,reconstructed_response_language_condition_not_translated_prompt,english,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,3,0,False
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,reconstructed_response_language_condition_not_translated_prompt,chinese,0.8333333333333334,0.6414692935030095,0.9332132367136705,24,2,0,False
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,reconstructed_response_language_condition_not_translated_prompt,russian,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,3,0,False
google/gemini-3.5-flash,google,gemini-3.5-flash,reconstructed_response_language_condition_not_translated_prompt,english,0.625,0.42709962442674276,0.7884063244045122,24,7,1,False
google/gemini-3.5-flash,google,gemini-3.5-flash,reconstructed_response_language_condition_not_translated_prompt,chinese,0.5833333333333334,0.3883466586522876,0.7553239739018824,24,8,0,False
google/gemini-3.5-flash,google,gemini-3.5-flash,reconstructed_response_language_condition_not_translated_prompt,russian,0.5833333333333334,0.3883466586522876,0.7553239739018824,24,8,0,False
meta/llama-3.3-70b-instruct,meta,llama-3.3-70b-instruct,reconstructed_response_language_condition_not_translated_prompt,english,0.5833333333333334,0.3883466586522876,0.7553239739018824,24,5,0,False
meta/llama-3.3-70b-instruct,meta,llama-3.3-70b-instruct,reconstructed_response_language_condition_not_translated_prompt,chinese,0.625,0.42709962442674276,0.7884063244045122,24,6,0,False
meta/llama-3.3-70b-instruct,meta,llama-3.3-70b-instruct,reconstructed_response_language_condition_not_translated_prompt,russian,0.75,0.55100555994846,0.8800063377140499,24,5,0,False
deepseek-ai/deepseek-v4-flash,deepseek-ai,deepseek-v4-flash,reconstructed_response_language_condition_not_translated_prompt,english,0.75,0.55100555994846,0.8800063377140499,24,3,0,False
deepseek-ai/deepseek-v4-flash,deepseek-ai,deepseek-v4-flash,reconstructed_response_language_condition_not_translated_prompt,chinese,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,2,0,False
deepseek-ai/deepseek-v4-flash,deepseek-ai,deepseek-v4-flash,reconstructed_response_language_condition_not_translated_prompt,russian,0.7916666666666666,0.5952954674681133,0.9075517464714814,24,3,0,False
qwen/qwen3.5-35b-a3b,qwen,qwen3.5-35b-a3b,reconstructed_response_language_condition_not_translated_prompt,english,0.875,0.6899611872949993,0.9565566591987655,24,3,0,False
qwen/qwen3.5-35b-a3b,qwen,qwen3.5-35b-a3b,reconstructed_response_language_condition_not_translated_prompt,chinese,0.9166666666666666,0.741511978067893,0.9768411847029567,24,2,0,False
qwen/qwen3.5-35b-a3b,qwen,qwen3.5-35b-a3b,reconstructed_response_language_condition_not_translated_prompt,russian,0.875,0.6899611872949993,0.9565566591987655,24,3,0,False
qwen/qwen3.6-27b,qwen,qwen3.6-27b,reconstructed_response_language_condition_not_translated_prompt,english,1.0,0.8620237953250198,1.0,24,0,0,False
qwen/qwen3.6-27b,qwen,qwen3.6-27b,reconstructed_response_language_condition_not_translated_prompt,chinese,1.0,0.8620237953250198,1.0,24,0,0,False
qwen/qwen3.6-27b,qwen,qwen3.6-27b,reconstructed_response_language_condition_not_translated_prompt,russian,1.0,0.8620237953250198,1.0,24,0,0,False
nvidia/nemotron-3-super-v3,nvidia,nemotron-3-super-v3,reconstructed_response_language_condition_not_translated_prompt,english,0.6666666666666666,0.4670631683813174,0.8202780967270225,24,8,0,False
nvidia/nemotron-3-super-v3,nvidia,nemotron-3-super-v3,reconstructed_response_language_condition_not_translated_prompt,chinese,0.625,0.42709962442674276,0.7884063244045122,24,9,0,False
nvidia/nemotron-3-super-v3,nvidia,nemotron-3-super-v3,reconstructed_response_language_condition_not_translated_prompt,russian,0.7083333333333334,0.5083230633550337,0.8508535180303913,24,7,0,False
nvidia/nemotron-3-ultra,nvidia,nemotron-3-ultra,reconstructed_response_language_condition_not_translated_prompt,english,0.625,0.42709962442674276,0.7884063244045122,24,8,0,False
nvidia/nemotron-3-ultra,nvidia,nemotron-3-ultra,reconstructed_response_language_condition_not_translated_prompt,chinese,0.6666666666666666,0.4670631683813174,0.8202780967270225,24,8,0,False
nvidia/nemotron-3-ultra,nvidia,nemotron-3-ultra,reconstructed_response_language_condition_not_translated_prompt,russian,0.6666666666666666,0.4670631683813174,0.8202780967270225,24,8,0,False
zai-org/glm-5.1,zai-org,glm-5.1,reconstructed_response_language_condition_not_translated_prompt,english,0.8333333333333334,0.6414692935030095,0.9332132367136705,24,3,1,False
zai-org/glm-5.1,zai-org,glm-5.1,reconstructed_response_language_condition_not_translated_prompt,chinese,0.875,0.6899611872949993,0.9565566591987655,24,2,0,False
zai-org/glm-5.1,zai-org,glm-5.1,reconstructed_response_language_condition_not_translated_prompt,russian,0.875,0.6899611872949993,0.9565566591987655,24,3,0,False
