model,dimension,value,analysis_scope,total,cooperative,cooperation_rate,wilson_low,wilson_high
aratan/qwen3.5-uncensored:9b,domain,crime,self_direct,16,1,0.0625,0.01111934476464252,0.28328737570298945
aratan/qwen3.5-uncensored:9b,domain,education,self_direct,16,1,0.0625,0.01111934476464252,0.28328737570298945
aratan/qwen3.5-uncensored:9b,domain,healthcare,self_direct,16,1,0.0625,0.01111934476464252,0.28328737570298945
aratan/qwen3.5-uncensored:9b,domain,neighborhood,self_direct,16,3,0.1875,0.06591599071428142,0.4300888096197414
aratan/qwen3.5-uncensored:9b,domain,sports,self_direct,16,0,0.0,0.0,0.1936076805344365
aratan/qwen3.5-uncensored:9b,domain,workplace,self_direct,16,0,0.0,0.0,0.1936076805344365
aratan/qwen3.5-uncensored:9b,frame,advice,all_frames,96,24,0.25,0.17413968368934074,0.3450981102394971
aratan/qwen3.5-uncensored:9b,frame,observer_evaluation,all_frames,96,63,0.65625,0.5568803111840908,0.7435960676103857
aratan/qwen3.5-uncensored:9b,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
aratan/qwen3.5-uncensored:9b,frame,self_direct,all_frames,96,6,0.0625,0.028956674311051346,0.12970946506441489
aratan/qwen3.5-uncensored:9b,game,prisoners_dilemma,self_direct,48,1,0.020833333333333332,0.003687110977510649,0.10899217995251861
aratan/qwen3.5-uncensored:9b,game,temptation_or_commons,self_direct,48,5,0.10416666666666667,0.04532171904181309,0.2216742169438633
aratan/qwen3.5-uncensored:9b,presentation,narrative,self_direct,48,4,0.08333333333333333,0.03288375681809179,0.19553301790367278
aratan/qwen3.5-uncensored:9b,presentation,structured,self_direct,48,2,0.041666666666666664,0.011501893489386572,0.13975655870455445
gpt-oss-safeguard:20b,domain,crime,self_direct,16,7,0.4375,0.23098652405492354,0.6682144360118811
gpt-oss-safeguard:20b,domain,education,self_direct,16,7,0.4375,0.23098652405492354,0.6682144360118811
gpt-oss-safeguard:20b,domain,healthcare,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
gpt-oss-safeguard:20b,domain,neighborhood,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
gpt-oss-safeguard:20b,domain,sports,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
gpt-oss-safeguard:20b,domain,workplace,self_direct,16,9,0.5625,0.331785563988119,0.7690134759450765
gpt-oss-safeguard:20b,frame,advice,all_frames,96,44,0.4583333333333333,0.36218849483208426,0.5576844708227221
gpt-oss-safeguard:20b,frame,observer_evaluation,all_frames,96,90,0.9375,0.8702905349355852,0.9710433256889488
gpt-oss-safeguard:20b,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
gpt-oss-safeguard:20b,frame,self_direct,all_frames,96,47,0.4895833333333333,0.3919286123125564,0.5880396291011453
gpt-oss-safeguard:20b,game,prisoners_dilemma,self_direct,48,3,0.0625,0.021483232908389285,0.1683543805494635
gpt-oss-safeguard:20b,game,temptation_or_commons,self_direct,48,44,0.9166666666666666,0.8044669820963272,0.9671162431819081
gpt-oss-safeguard:20b,presentation,narrative,self_direct,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838
gpt-oss-safeguard:20b,presentation,structured,self_direct,48,22,0.4583333333333333,0.32575242292867446,0.5970892545435019
gpt-oss:20b,domain,crime,self_direct,16,5,0.3125,0.14164643854782039,0.5559564416525933
gpt-oss:20b,domain,education,self_direct,16,7,0.4375,0.23098652405492354,0.6682144360118811
gpt-oss:20b,domain,healthcare,self_direct,16,5,0.3125,0.14164643854782039,0.5559564416525933
gpt-oss:20b,domain,neighborhood,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
gpt-oss:20b,domain,sports,self_direct,16,2,0.125,0.03497748774324047,0.36022827265758695
gpt-oss:20b,domain,workplace,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
gpt-oss:20b,frame,advice,all_frames,96,33,0.34375,0.2564039323896144,0.4431196888159093
gpt-oss:20b,frame,observer_evaluation,all_frames,96,84,0.875,0.794115318705986,0.9270279904007575
gpt-oss:20b,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
gpt-oss:20b,frame,self_direct,all_frames,96,31,0.3229166666666667,0.23775841402236636,0.4217016900105605
gpt-oss:20b,game,prisoners_dilemma,self_direct,48,1,0.020833333333333332,0.003687110977510649,0.10899217995251861
gpt-oss:20b,game,temptation_or_commons,self_direct,48,30,0.625,0.4836276351921527,0.747847332391318
gpt-oss:20b,presentation,narrative,self_direct,48,14,0.2916666666666667,0.18241578926516536,0.431792598095717
gpt-oss:20b,presentation,structured,self_direct,48,17,0.3541666666666667,0.23433644125604858,0.4956094298965691
gurubot/gpt-oss-derestricted:20b,domain,crime,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
gurubot/gpt-oss-derestricted:20b,domain,education,self_direct,16,4,0.25,0.10182067491213048,0.49498316535508774
gurubot/gpt-oss-derestricted:20b,domain,healthcare,self_direct,16,4,0.25,0.10182067491213048,0.49498316535508774
gurubot/gpt-oss-derestricted:20b,domain,neighborhood,self_direct,16,6,0.375,0.18481232558863633,0.6135895945449727
gurubot/gpt-oss-derestricted:20b,domain,sports,self_direct,16,5,0.3125,0.14164643854782039,0.5559564416525933
gurubot/gpt-oss-derestricted:20b,domain,workplace,self_direct,16,3,0.1875,0.06591599071428142,0.4300888096197414
gurubot/gpt-oss-derestricted:20b,frame,advice,all_frames,96,32,0.3333333333333333,0.2470569241521054,0.43243493846711983
gurubot/gpt-oss-derestricted:20b,frame,observer_evaluation,all_frames,96,44,0.4583333333333333,0.36218849483208426,0.5576844708227221
gurubot/gpt-oss-derestricted:20b,frame,prediction,all_frames,96,0,0.0,3.469446951953614e-18,0.038475587857675686
gurubot/gpt-oss-derestricted:20b,frame,self_direct,all_frames,96,28,0.2916666666666667,0.21016592525216696,0.38919890302186466
gurubot/gpt-oss-derestricted:20b,game,prisoners_dilemma,self_direct,48,2,0.041666666666666664,0.011501893489386572,0.13975655870455445
gurubot/gpt-oss-derestricted:20b,game,temptation_or_commons,self_direct,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254
gurubot/gpt-oss-derestricted:20b,presentation,narrative,self_direct,48,13,0.2708333333333333,0.1656595762745644,0.40996964982240613
gurubot/gpt-oss-derestricted:20b,presentation,structured,self_direct,48,15,0.3125,0.19945683446587817,0.4533307141589159
huihui_ai/qwen2.5-abliterate:7b,domain,crime,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,domain,education,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,domain,healthcare,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,domain,neighborhood,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,domain,sports,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,domain,workplace,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b,frame,advice,all_frames,96,95,0.9895833333333334,0.9433338237728424,0.9981588297831838
huihui_ai/qwen2.5-abliterate:7b,frame,observer_evaluation,all_frames,96,95,0.9895833333333334,0.9433338237728424,0.9981588297831838
huihui_ai/qwen2.5-abliterate:7b,frame,prediction,all_frames,96,2,0.020833333333333332,0.005731969852430421,0.07280713517784211
huihui_ai/qwen2.5-abliterate:7b,frame,self_direct,all_frames,96,96,1.0,0.9615244121423243,1.0
huihui_ai/qwen2.5-abliterate:7b,game,prisoners_dilemma,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b,game,temptation_or_commons,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b,presentation,narrative,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b,presentation,structured,self_direct,48,48,1.0,0.9258998703338824,0.9999999999999999
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,crime,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,education,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,healthcare,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,neighborhood,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,sports,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,domain,workplace,self_direct,16,16,1.0,0.8063923194655637,1.0
huihui_ai/qwen2.5-abliterate:7b-instruct,frame,advice,all_frames,96,92,0.9583333333333334,0.8977180853334191,0.9836792924637118
huihui_ai/qwen2.5-abliterate:7b-instruct,frame,observer_evaluation,all_frames,96,94,0.9791666666666666,0.9271928648221579,0.9942680301475697
huihui_ai/qwen2.5-abliterate:7b-instruct,frame,prediction,all_frames,96,2,0.020833333333333332,0.005731969852430421,0.07280713517784211
huihui_ai/qwen2.5-abliterate:7b-instruct,frame,self_direct,all_frames,96,96,1.0,0.9615244121423243,1.0
